start_date	end_date	session_time	cycleId
2024-11-10 04:27:13.368019	 2024-11-10 04:38:36.899180	 683.531161	 459.0
2024-11-10 04:38:36.899180	 2024-11-10 04:50:00.088505	 683.189325	 460.0
2024-11-10 04:50:00.088505	 2024-11-10 05:01:23.502483	 683.413978	 461.0
2024-11-10 05:01:23.502483	 2024-11-10 05:12:47.076484	 683.574001	 462.0
2024-11-10 05:12:47.076484	 2024-11-10 05:24:10.323480	 683.246996	 463.0
2024-11-10 05:24:10.323480	 2024-11-10 05:35:33.787858	 683.464378	 464.0
2024-11-10 05:35:33.787858	 2024-11-10 05:46:57.215933	 683.428075	 465.0
2024-11-10 05:46:57.215933	 2024-11-10 05:58:20.616047	 683.400114	 466.0
2024-11-10 05:58:20.616047	 2024-11-10 06:09:43.932855	 683.316808	 467.0
2024-11-10 06:09:43.932855	 2024-11-10 06:21:07.493081	 683.560226	 468.0
2024-11-10 06:21:07.493081	 2024-11-10 06:32:30.779732	 683.286651	 469.0
2024-11-10 06:32:30.779732	 2024-11-10 06:43:53.995448	 683.215716	 470.0
2024-11-10 06:43:53.995448	 2024-11-10 06:55:17.563207	 683.567759	 471.0
2024-11-10 06:55:17.563207	 2024-11-10 07:06:40.875795	 683.312588	 472.0
2024-11-10 07:06:40.875795	 2024-11-10 07:18:04.277339	 683.401544	 473.0
2024-11-10 07:18:04.277339	 2024-11-10 07:29:27.706315	 683.428976	 474.0
2024-11-10 07:29:27.706315	 2024-11-10 07:40:51.097292	 683.390977	 475.0
2024-11-10 07:40:51.097292	 2024-11-10 07:52:14.527449	 683.430157	 476.0
2024-11-10 07:52:14.527449	 2024-11-10 08:03:37.798592	 683.271143	 477.0
2024-11-10 08:03:37.798592	 2024-11-10 08:15:01.206687	 683.408095	 478.0
2024-11-10 08:15:01.206687	 2024-11-10 08:26:24.652923	 683.446236	 479.0
2024-11-10 08:26:24.652923	 2024-11-10 08:37:47.976059	 683.323136	 480.0
2024-11-10 08:37:47.976059	 2024-11-10 08:49:11.279594	 683.303535	 481.0
2024-11-10 08:49:11.279594	 2024-11-10 09:00:34.781117	 683.501523	 482.0
2024-11-10 09:00:34.781117	 2024-11-10 09:11:58.331847	 683.55073	 483.0
2024-11-10 09:11:58.331847	 2024-11-10 09:23:21.386983	 683.055136	 484.0
2024-11-10 09:23:21.386983	 2024-11-10 09:34:44.982705	 683.595722	 485.0
2024-11-10 09:34:44.982705	 2024-11-10 09:46:08.210680	 683.227975	 486.0
2024-11-10 09:46:08.210680	 2024-11-10 09:57:31.841694	 683.631014	 487.0
2024-11-10 09:57:31.841694	 2024-11-10 10:08:55.108576	 683.266882	 488.0
2024-11-10 10:08:55.108576	 2024-11-10 10:20:18.478775	 683.370199	 489.0
2024-11-10 10:20:18.478775	 2024-11-10 10:31:41.797313	 683.318538	 490.0
2024-11-10 10:31:41.797313	 2024-11-10 10:43:05.404876	 683.607563	 491.0
2024-11-10 10:43:05.404876	 2024-11-10 10:54:28.610852	 683.205976	 492.0
2024-11-10 10:54:28.610852	 2024-11-10 11:05:52.063615	 683.452763	 493.0
2024-11-10 11:05:52.063615	 2024-11-10 11:17:15.460272	 683.396657	 494.0
2024-11-10 11:17:15.460272	 2024-11-10 11:28:38.890750	 683.430478	 495.0
2024-11-10 11:28:38.890750	 2024-11-10 11:40:02.342293	 683.451543	 496.0
2024-11-10 11:40:02.342293	 2024-11-10 11:51:25.594198	 683.251905	 497.0
2024-11-10 11:51:25.594198	 2024-11-10 12:02:49.057800	 683.463602	 498.0
2024-11-10 12:02:49.057800	 2024-11-10 12:14:12.464526	 683.406726	 499.0
2024-11-10 12:14:12.464526	 2024-11-10 12:25:35.771897	 683.307371	 500.0
2024-11-10 12:25:35.771897	 2024-11-10 12:36:59.035735	 683.263838	 501.0
2024-11-10 12:36:59.035735	 2024-11-10 12:48:22.585973	 683.550238	 502.0
2024-11-10 12:48:22.585973	 2024-11-10 12:59:45.933749	 683.347776	 503.0
2024-11-10 12:59:45.933749	 2024-11-10 13:11:09.154352	 683.220603	 504.0
2024-11-10 13:11:09.154352	 2024-11-10 13:22:32.745928	 683.591576	 505.0
2024-11-10 13:22:32.745928	 2024-11-10 13:33:56.203538	 683.45761	 506.0
2024-11-10 13:33:56.203538	 2024-11-10 13:45:19.423639	 683.220101	 507.0
2024-11-10 13:45:19.423639	 2024-11-10 13:56:42.849014	 683.425375	 508.0
2024-11-10 13:56:42.849014	 2024-11-10 14:08:06.375119	 683.526105	 509.0
2024-11-10 14:08:06.375119	 2024-11-10 14:19:29.744026	 683.368907	 510.0
2024-11-10 14:19:29.744026	 2024-11-10 14:30:53.018861	 683.274835	 511.0
2024-11-10 14:30:53.018861	 2024-11-10 14:42:16.442773	 683.423912	 512.0
2024-11-10 14:42:16.442773	 2024-11-10 14:53:39.901296	 683.458523	 513.0
2024-11-10 14:53:39.901296	 2024-11-10 15:05:03.225781	 683.324485	 514.0
